Target_ID,Target_Protein_Name,Domain_ID
Q92698,DNA repair and recombination protein RAD54-like,PF00176
Q9HC98,Serine/threonine-protein kinase Nek6,PF00069
P14136,Glial fibrillary acidic protein,PF00038
P14136,Glial fibrillary acidic protein,PF04732
O14617,AP-3 complex subunit delta-1,PF01602
O14617,AP-3 complex subunit delta-1,PF06375
P11171,Protein 4.1,PF05902
P11171,Protein 4.1,PF08736
P11171,Protein 4.1,PF09380
P11171,Protein 4.1,PF00373
P11171,Protein 4.1,PF09379
P11171,Protein 4.1,PF04382
Q09013,Myotonin-protein kinase,PF08826
Q09013,Myotonin-protein kinase,PF00069
P0C6X6,Replicase polyprotein 1ab,PF13087
P0C6X6,Replicase polyprotein 1ab,PF13604
P0C6X6,Replicase polyprotein 1ab,PF11963
P0C6X6,Replicase polyprotein 1ab,PF16251
P0C6X6,Replicase polyprotein 1ab,PF06471
P0C6X6,Replicase polyprotein 1ab,PF06460
P0C6X6,Replicase polyprotein 1ab,PF09401
P0C6X6,Replicase polyprotein 1ab,PF20631
P0C6X6,Replicase polyprotein 1ab,PF20633
P0C6X6,Replicase polyprotein 1ab,PF20632
P0C6X6,Replicase polyprotein 1ab,PF19215
P0C6X6,Replicase polyprotein 1ab,PF19216
P0C6X6,Replicase polyprotein 1ab,PF19219
P0C6X6,Replicase polyprotein 1ab,PF19218
P0C6X6,Replicase polyprotein 1ab,PF16348
P0C6X6,Replicase polyprotein 1ab,PF19217
P0C6X6,Replicase polyprotein 1ab,PF19213
P0C6X6,Replicase polyprotein 1ab,PF08716
P0C6X6,Replicase polyprotein 1ab,PF08717
P0C6X6,Replicase polyprotein 1ab,PF08710
P0C6X6,Replicase polyprotein 1ab,PF08715
P0C6X6,Replicase polyprotein 1ab,PF06478
P0C6X6,Replicase polyprotein 1ab,PF01661
P0C6X6,Replicase polyprotein 1ab,PF22104
P0C6X6,Replicase polyprotein 1ab,PF01831
P0C6X6,Replicase polyprotein 1ab,PF05409
P0C6X6,Replicase polyprotein 1ab,PF00680
Q86YV6,Myosin light chain kinase family member 4,PF00069
C5E519,Matrix protein 2,PF00599
P20794,Serine/threonine-protein kinase MAK,PF00069
P49761,Dual specificity protein kinase CLK3,PF00069
Q96PF2,Testis-specific serine/threonine-protein kinase 2,PF00069
Q9NRP7,Serine/threonine-protein kinase 36,PF13646
Q9NRP7,Serine/threonine-protein kinase 36,PF00069
P26715,NKG2-A/NKG2-B type II integral membrane protein,PF00059
Q6P1N0,Coiled-coil and C2 domain-containing protein 1A,PF00168
Q6P1N0,Coiled-coil and C2 domain-containing protein 1A,PF21528
Q8TDX7,Serine/threonine-protein kinase Nek7,PF00069
Q9NYL2,Mitogen-activated protein kinase kinase kinase 20,PF07714
Q9NYL2,Mitogen-activated protein kinase kinase kinase 20,PF00536
Q9WJR5,Endogenous retrovirus group K member 19 Pol protein,PF00552
Q9WJR5,Endogenous retrovirus group K member 19 Pol protein,PF02022
Q9WJR5,Endogenous retrovirus group K member 19 Pol protein,PF00075
Q9WJR5,Endogenous retrovirus group K member 19 Pol protein,PF00665
Q9WJR5,Endogenous retrovirus group K member 19 Pol protein,PF00078
Q9WJR5,Endogenous retrovirus group K member 19 Pol protein,PF06817
Q96Q89,Kinesin-like protein KIF20B,PF00225
Q3B7T1,Erythroid differentiation-related factor 1,PF23788
Q3B7T1,Erythroid differentiation-related factor 1,PF23723
Q92889,DNA repair endonuclease XPF,PF02732
P11362,Fibroblast growth factor receptor 1,PF07679
P11362,Fibroblast growth factor receptor 1,PF00047
P11362,Fibroblast growth factor receptor 1,PF07714
Q9UH90,F-box only protein 40,PF15966
Q9UH90,F-box only protein 40,PF15965
P0DOF2,Matrix protein,PF04785
Q8N239,Kelch-like protein 34,PF07707
Q8N239,Kelch-like protein 34,PF00651
Q8N239,Kelch-like protein 34,PF24681
Q2TAK1,F-box DNA helicase 1,PF12937
Q2TAK1,F-box DNA helicase 1,PF00580
Q2TAK1,F-box DNA helicase 1,PF13361
Q96II5,non-specific serine/threonine protein kinase,PF00130
Q96II5,non-specific serine/threonine protein kinase,PF07714
Q96II5,non-specific serine/threonine protein kinase,PF02196
Q6PK50,HSP90AB1 protein,PF13589
Q6PK50,HSP90AB1 protein,PF00183
K7ELE9,DDB1 and CUL4 associated factor 15,PF14939
Q96BR9,Zinc finger and BTB domain-containing protein 8A,PF00651
Q96BR9,Zinc finger and BTB domain-containing protein 8A,PF00096
Q9Y6D9,Mitotic spindle assembly checkpoint protein MAD1,PF05557
A0JLT2,Mediator of RNA polymerase II transcription subunit 19,PF10278
O95801,Tetratricopeptide repeat protein 4,PF18972
P07437,Tubulin beta chain,PF00091
P07437,Tubulin beta chain,PF03953
P19878,Neutrophil cytosol factor 2,PF00564
P19878,Neutrophil cytosol factor 2,PF00018
P19878,Neutrophil cytosol factor 2,PF13181
Q8IWJ2,GRIP and coiled-coil domain-containing protein 2,PF01465
Q8IWJ2,GRIP and coiled-coil domain-containing protein 2,PF16704
Q96T88,E3 ubiquitin-protein ligase UHRF1,PF00628
Q96T88,E3 ubiquitin-protein ligase UHRF1,PF02182
Q96T88,E3 ubiquitin-protein ligase UHRF1,PF12148
Q96T88,E3 ubiquitin-protein ligase UHRF1,PF00240
Q8NE63,Homeodomain-interacting protein kinase 4,PF00069
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,PF00130
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,PF00780
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,PF08826
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,PF15796
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,PF25346
Q9Y5S2,Serine/threonine-protein kinase MRCK beta,PF00069
P24941,Cyclin-dependent kinase 2,PF00069
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,PF19039
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,PF20309
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,PF20302
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,PF13281
Q6ZN16,Mitogen-activated protein kinase kinase kinase 15,PF00069
Q9NWN3,F-box only protein 34,PF12937
Q05682,Caldesmon,PF02029
Q9H2R5,Kallikrein-15,PF00089
O75426,F-box only protein 24,PF12937
O75426,F-box only protein 24,PF00415
P53834,Hsp90 co-chaperone HCH1,PF09229
Q93000,CHL1 protein,PF06733
Q93000,CHL1 protein,PF13307
Q15185,Prostaglandin E synthase 3,PF04969
Q96SQ5,Zinc finger protein 587,PF01352
Q96SQ5,Zinc finger protein 587,PF00096
O43175,D-3-phosphoglycerate dehydrogenase,PF00389
O43175,D-3-phosphoglycerate dehydrogenase,PF02826
O43175,D-3-phosphoglycerate dehydrogenase,PF19304
P50750,Cyclin-dependent kinase 9,PF00069
O94966,Ubiquitin carboxyl-terminal hydrolase 19,PF04969
O94966,Ubiquitin carboxyl-terminal hydrolase 19,PF00443
O94966,Ubiquitin carboxyl-terminal hydrolase 19,PF16602
O94966,Ubiquitin carboxyl-terminal hydrolase 19,PF01753
P37231,Peroxisome proliferator-activated receptor gamma,PF00104
P37231,Peroxisome proliferator-activated receptor gamma,PF12577
P37231,Peroxisome proliferator-activated receptor gamma,PF00105
Q15291,Retinoblastoma-binding protein 5,PF00400
Q8TAT5,Endonuclease 8-like 3,PF06831
Q8TAT5,Endonuclease 8-like 3,PF06839
Q8TAT5,Endonuclease 8-like 3,PF00641
Q9UIV8,Serpin B13,PF00079
O75564,Jerky protein homolog,PF04218
O75564,Jerky protein homolog,PF03184
O75564,Jerky protein homolog,PF03221
Q9H329,Band 4.1-like protein 4B,PF08736
Q9H329,Band 4.1-like protein 4B,PF09380
Q9H329,Band 4.1-like protein 4B,PF00373
Q9H329,Band 4.1-like protein 4B,PF09379
Q12756,Kinesin-like protein KIF1A,PF12473
Q12756,Kinesin-like protein KIF1A,PF00498
Q12756,Kinesin-like protein KIF1A,PF12423
Q12756,Kinesin-like protein KIF1A,PF00225
Q12756,Kinesin-like protein KIF1A,PF16183
Q12756,Kinesin-like protein KIF1A,PF00169
Q6PID8,Kelch domain-containing protein 10,PF13418
Q6PID8,Kelch domain-containing protein 10,PF24681
O00463,TNF receptor-associated factor 5,PF21355
O00463,TNF receptor-associated factor 5,PF21363
O00463,TNF receptor-associated factor 5,PF02176
P15884,Transcription factor 4,PF00010
P03496,Non-structural protein 1,PF00600
K9N7A1,Membrane protein,PF01635
A8E1C4,Large tegument protein deneddylase,PF04843
Q53G71,Calreticulin,PF00262
O75815,Breast cancer anti-estrogen resistance protein 3,PF00617
O75815,Breast cancer anti-estrogen resistance protein 3,PF00017
P26368,Splicing factor U2AF 65 kDa subunit,PF00076
Q15435,Protein phosphatase 1 regulatory subunit 7,PF12799
Q15435,Protein phosphatase 1 regulatory subunit 7,PF14580
Q9BZL6,Serine/threonine-protein kinase D2,PF00130
Q9BZL6,Serine/threonine-protein kinase D2,PF00169
Q9BZL6,Serine/threonine-protein kinase D2,PF00069
O14775,Guanine nucleotide-binding protein subunit beta-5,PF25391
Q32MK0,Myosin light chain kinase 3,PF00069
Q93034,Cullin-5,PF00888
Q93034,Cullin-5,PF10557
Q9NRM7,Serine/threonine-protein kinase LATS2,PF00069
Q9NRM7,Serine/threonine-protein kinase LATS2,PF00433
O95166,Gamma-aminobutyric acid receptor-associated protein,PF02991
P63244,Small ribosomal subunit protein RACK1,PF00400
Q15014,Mortality factor 4-like protein 2,PF05712
O14802,DNA-directed RNA polymerase III subunit RPC1,PF04997
O14802,DNA-directed RNA polymerase III subunit RPC1,PF00623
O14802,DNA-directed RNA polymerase III subunit RPC1,PF04983
O14802,DNA-directed RNA polymerase III subunit RPC1,PF05000
O14802,DNA-directed RNA polymerase III subunit RPC1,PF04998
O75916,Regulator of G-protein signaling 9,PF00610
O75916,Regulator of G-protein signaling 9,PF00631
O75916,Regulator of G-protein signaling 9,PF00615
O75916,Regulator of G-protein signaling 9,PF18148
P08651,Nuclear factor 1 C-type,PF00859
P08651,Nuclear factor 1 C-type,PF03165
P08651,Nuclear factor 1 C-type,PF10524
Q9P0U4,CXXC-type zinc finger protein 1,PF12269
Q9P0U4,CXXC-type zinc finger protein 1,PF00628
Q9P0U4,CXXC-type zinc finger protein 1,PF02008
Q9UBG3,Cornulin,PF01023
P00519,Tyrosine-protein kinase ABL1,PF08919
P00519,Tyrosine-protein kinase ABL1,PF07714
P00519,Tyrosine-protein kinase ABL1,PF00017
P00519,Tyrosine-protein kinase ABL1,PF00018
Q96MT8,Centrosomal protein of 63 kDa,PF17045
P0C6X5,Replicase polyprotein 1ab,PF13087
P0C6X5,Replicase polyprotein 1ab,PF13604
P0C6X5,Replicase polyprotein 1ab,PF06471
P0C6X5,Replicase polyprotein 1ab,PF06460
P0C6X5,Replicase polyprotein 1ab,PF09401
P0C6X5,Replicase polyprotein 1ab,PF20631
P0C6X5,Replicase polyprotein 1ab,PF20633
P0C6X5,Replicase polyprotein 1ab,PF20632
P0C6X5,Replicase polyprotein 1ab,PF19215
P0C6X5,Replicase polyprotein 1ab,PF19216
P0C6X5,Replicase polyprotein 1ab,PF19219
P0C6X5,Replicase polyprotein 1ab,PF19212
P0C6X5,Replicase polyprotein 1ab,PF19211
P0C6X5,Replicase polyprotein 1ab,PF19218
P0C6X5,Replicase polyprotein 1ab,PF16348
P0C6X5,Replicase polyprotein 1ab,PF19217
P0C6X5,Replicase polyprotein 1ab,PF19213
P0C6X5,Replicase polyprotein 1ab,PF08716
P0C6X5,Replicase polyprotein 1ab,PF08717
P0C6X5,Replicase polyprotein 1ab,PF08710
P0C6X5,Replicase polyprotein 1ab,PF08715
P0C6X5,Replicase polyprotein 1ab,PF06478
P0C6X5,Replicase polyprotein 1ab,PF01661
P0C6X5,Replicase polyprotein 1ab,PF05409
P0C6X5,Replicase polyprotein 1ab,PF00680
P25098,Beta-adrenergic receptor kinase 1,PF00169
P25098,Beta-adrenergic receptor kinase 1,PF00069
P25098,Beta-adrenergic receptor kinase 1,PF00615
Q8TDR0,TRAF3-interacting protein 1,PF10243
Q8TDR0,TRAF3-interacting protein 1,PF17749
Q9H0H3,Kelch-like protein 25,PF07707
Q9H0H3,Kelch-like protein 25,PF24981
Q9H0H3,Kelch-like protein 25,PF00651
Q15427,Splicing factor 3B subunit 4,PF00076
Q8TD31,Coiled-coil alpha-helical rod protein 1,PF07111
Q9H981,Actin-related protein 8,PF00022
Q9NPF5,DNA methyltransferase 1-associated protein 1,PF05499
Q9NPF5,DNA methyltransferase 1-associated protein 1,PF16282
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,PF04818
Q9NQG5,Regulation of nuclear pre-mRNA domain-containing protein 1B,PF16566
Q9BYE7,Polycomb group RING finger protein 6,PF16207
Q9BYE7,Polycomb group RING finger protein 6,PF13923
Q9Y458,T-box transcription factor TBX22,PF00907
P41970,ETS domain-containing protein Elk-3,PF00178
P10909,Clusterin,PF01093
Q5T700,Low-density lipoprotein receptor class A domain-containing protein 1,PF00057
Q5T700,Low-density lipoprotein receptor class A domain-containing protein 1,PF25241
Q9NQ86,E3 ubiquitin-protein ligase TRIM36,PF22586
Q9NQ86,E3 ubiquitin-protein ligase TRIM36,PF18568
Q9NQ86,E3 ubiquitin-protein ligase TRIM36,PF00041
Q9NQ86,E3 ubiquitin-protein ligase TRIM36,PF00643
Q9NQ86,E3 ubiquitin-protein ligase TRIM36,PF13445
P15923,Transcription factor E2-alpha,PF00010
Q60992,Guanine nucleotide exchange factor VAV2,PF00130
Q60992,Guanine nucleotide exchange factor VAV2,PF11971
Q60992,Guanine nucleotide exchange factor VAV2,PF00169
Q60992,Guanine nucleotide exchange factor VAV2,PF00621
Q60992,Guanine nucleotide exchange factor VAV2,PF00017
Q60992,Guanine nucleotide exchange factor VAV2,PF07653
P12497,Gag-Pol polyprotein,PF00540
P12497,Gag-Pol polyprotein,PF19317
P12497,Gag-Pol polyprotein,PF00552
P12497,Gag-Pol polyprotein,PF02022
P12497,Gag-Pol polyprotein,PF00075
P12497,Gag-Pol polyprotein,PF00665
P12497,Gag-Pol polyprotein,PF00077
P12497,Gag-Pol polyprotein,PF00078
P12497,Gag-Pol polyprotein,PF06815
P12497,Gag-Pol polyprotein,PF06817
P12497,Gag-Pol polyprotein,PF00098
Q14201,Protein BTG3,PF07742
Q52LR7,Enhancer of polycomb homolog 2,PF06752
Q52LR7,Enhancer of polycomb homolog 2,PF10513
Q96MH7,Uncharacterized protein C5orf34,PF15025
Q96MH7,Uncharacterized protein C5orf34,PF22833
Q96MH7,Uncharacterized protein C5orf34,PF15016
Q96MH7,Uncharacterized protein C5orf34,PF22834
Q15744,CCAAT/enhancer-binding protein epsilon,PF07716
Q12866,Tyrosine-protein kinase Mer,PF00041
Q12866,Tyrosine-protein kinase Mer,PF00047
Q12866,Tyrosine-protein kinase Mer,PF13927
Q12866,Tyrosine-protein kinase Mer,PF07714
Q16671,Anti-Muellerian hormone type-2 receptor,PF00069
Q96AD5,Patatin-like phospholipase domain-containing protein 2,PF01734
Q9BX70,BTB/POZ domain-containing protein 2,PF07707
Q9BX70,BTB/POZ domain-containing protein 2,PF00651
Q9BX70,BTB/POZ domain-containing protein 2,PF08005
Q9H0M0,NEDD4-like E3 ubiquitin-protein ligase WWP1,PF00168
Q9H0M0,NEDD4-like E3 ubiquitin-protein ligase WWP1,PF00632
Q9H0M0,NEDD4-like E3 ubiquitin-protein ligase WWP1,PF00397
O60244,Mediator of RNA polymerase II transcription subunit 14,PF08638
O60244,Mediator of RNA polymerase II transcription subunit 14,PF25069
O60244,Mediator of RNA polymerase II transcription subunit 14,PF22981
O60244,Mediator of RNA polymerase II transcription subunit 14,PF25065
O60244,Mediator of RNA polymerase II transcription subunit 14,PF25067
O60244,Mediator of RNA polymerase II transcription subunit 14,PF22984
O60244,Mediator of RNA polymerase II transcription subunit 14,PF22983
P43250,G protein-coupled receptor kinase 6,PF00069
P43250,G protein-coupled receptor kinase 6,PF00615
P78527,DNA-dependent protein kinase catalytic subunit,PF20500
P78527,DNA-dependent protein kinase catalytic subunit,PF20502
P78527,DNA-dependent protein kinase catalytic subunit,PF08163
P78527,DNA-dependent protein kinase catalytic subunit,PF19704
P78527,DNA-dependent protein kinase catalytic subunit,PF02259
P78527,DNA-dependent protein kinase catalytic subunit,PF02260
P78527,DNA-dependent protein kinase catalytic subunit,PF00454
Q6P0Q8,Microtubule-associated serine/threonine-protein kinase 2,PF08926
Q6P0Q8,Microtubule-associated serine/threonine-protein kinase 2,PF17820
Q6P0Q8,Microtubule-associated serine/threonine-protein kinase 2,PF00069
Q96PU8,KH domain-containing RNA-binding protein QKI,PF22675
Q96PU8,KH domain-containing RNA-binding protein QKI,PF16551
Q96PU8,KH domain-containing RNA-binding protein QKI,PF16544
O95833,Chloride intracellular channel protein 3,PF22441
O95833,Chloride intracellular channel protein 3,PF13410
Q8N7C3,Probable E3 ubiquitin-protein ligase TRIML2,PF13765
Q8N7C3,Probable E3 ubiquitin-protein ligase TRIML2,PF00622
Q8N7C3,Probable E3 ubiquitin-protein ligase TRIML2,PF00643
Q9BTE3,Mini-chromosome maintenance complex-binding protein,PF09739
Q04837,"Single-stranded DNA-binding protein, mitochondrial",PF00436
Q13939,Calicin,PF07707
Q13939,Calicin,PF00651
Q13939,Calicin,PF01344
Q13939,Calicin,PF13964
Q9UK97,F-box only protein 9,PF12937
Q9UK97,F-box only protein 9,PF19270
O15297,Protein phosphatase 1D,PF00481
P48740,Mannan-binding lectin serine protease 1,PF00431
P48740,Mannan-binding lectin serine protease 1,PF00084
P48740,Mannan-binding lectin serine protease 1,PF00089
Q96BT7,tRNA,PF13532
Q96BT7,tRNA,PF09004
Q96BT7,tRNA,PF08241
Q96BT7,tRNA,PF00076
O95674,Phosphatidate cytidylyltransferase 2,PF01148
Q6NSJ5,Volume-regulated anion channel subunit LRRC8E,PF00560
Q6NSJ5,Volume-regulated anion channel subunit LRRC8E,PF13855
Q6NSJ5,Volume-regulated anion channel subunit LRRC8E,PF12534
Q9HCK5,Protein argonaute-4,PF08699
Q9HCK5,Protein argonaute-4,PF16488
Q9HCK5,Protein argonaute-4,PF16487
Q9HCK5,Protein argonaute-4,PF16486
Q9HCK5,Protein argonaute-4,PF02170
Q9HCK5,Protein argonaute-4,PF02171
Q9UHA4,Ragulator complex protein LAMTOR3,PF08923
Q7Z6J6,FERM domain-containing protein 5,PF08736
Q7Z6J6,FERM domain-containing protein 5,PF09380
Q7Z6J6,FERM domain-containing protein 5,PF00373
Q7Z6J6,FERM domain-containing protein 5,PF09379
Q9BV29,Coiled-coil domain-containing protein 32,PF14989
Q9UHY8,Fasciculation and elongation protein zeta-2,PF07763
Q9Y2H1,Serine/threonine-protein kinase 38-like,PF00069
Q9Y2H1,Serine/threonine-protein kinase 38-like,PF00433
O75417,DNA polymerase theta,PF00270
O75417,DNA polymerase theta,PF00476
O75417,DNA polymerase theta,PF25453
O75417,DNA polymerase theta,PF00271
O75417,DNA polymerase theta,PF20470
O75417,DNA polymerase theta,PF21099
Q02846,Retinal guanylyl cyclase 1,PF01094
Q02846,Retinal guanylyl cyclase 1,PF00211
Q02846,Retinal guanylyl cyclase 1,PF07701
Q02846,Retinal guanylyl cyclase 1,PF07714
Q04864,Proto-oncogene c-Rel,PF16179
Q04864,Proto-oncogene c-Rel,PF00554
Q9Y2J4,Angiomotin-like protein 2,PF12240
O95995,Dynein regulatory complex subunit 4,PF13851
P41219,Peripherin,PF00038
P41219,Peripherin,PF04732
Q96EK5,KIF-binding protein,PF12309
P78358,Cancer/testis antigen 1,PF09341
P05067,Amyloid-beta precursor protein,PF10515
P05067,Amyloid-beta precursor protein,PF12924
P05067,Amyloid-beta precursor protein,PF12925
P05067,Amyloid-beta precursor protein,PF02177
P05067,Amyloid-beta precursor protein,PF03494
P05067,Amyloid-beta precursor protein,PF00014
O95199,RCC1 and BTB domain-containing protein 2,PF00651
O95199,RCC1 and BTB domain-containing protein 2,PF25390
Q58FF8,Putative heat shock protein HSP 90-beta 2,PF00183
Q77NP3,Cytoplasmic envelopment protein 3,PF11094
P11801,Serine/threonine-protein kinase H1,PF00069
Q99576,TSC22 domain family protein 3,PF01166
P46734,Dual specificity mitogen-activated protein kinase kinase 3,PF00069
Q00532,Cyclin-dependent kinase-like 1,PF00069
Q9UET6,tRNA,PF01728
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,PF00586
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,PF02769
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,PF00551
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,PF01071
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,PF02843
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase,PF02844
P29322,Ephrin type-A receptor 8,PF14575
P29322,Ephrin type-A receptor 8,PF01404
P29322,Ephrin type-A receptor 8,PF00041
P29322,Ephrin type-A receptor 8,PF07714
P29322,Ephrin type-A receptor 8,PF00536
Q8WVZ9,Kelch repeat and BTB domain-containing protein 7,PF07707
Q8WVZ9,Kelch repeat and BTB domain-containing protein 7,PF00651
Q8WVZ9,Kelch repeat and BTB domain-containing protein 7,PF20165
Q8WVZ9,Kelch repeat and BTB domain-containing protein 7,PF01344
Q9BUB5,MAP kinase-interacting serine/threonine-protein kinase 1,PF00069
P35869,Aryl hydrocarbon receptor,PF00010
P35869,Aryl hydrocarbon receptor,PF00989
P35869,Aryl hydrocarbon receptor,PF08447
Q13033,Striatin-3,PF08232
Q13033,Striatin-3,PF00400
Q8TD19,Serine/threonine-protein kinase Nek9,PF00069
Q8TD19,Serine/threonine-protein kinase Nek9,PF25390
Q96JC9,ELL-associated factor 1,PF09816
P01106,Myc proto-oncogene protein,PF00010
P01106,Myc proto-oncogene protein,PF02344
P01106,Myc proto-oncogene protein,PF01056
P62913,Large ribosomal subunit protein uL5,PF00281
P62913,Large ribosomal subunit protein uL5,PF00673
Q9H093,NUAK family SNF1-like kinase 2,PF00069
O15530,3-phosphoinositide-dependent protein kinase 1,PF14593
O15530,3-phosphoinositide-dependent protein kinase 1,PF00069
Q9Y572,Receptor-interacting serine/threonine-protein kinase 3,PF00069
Q9Y572,Receptor-interacting serine/threonine-protein kinase 3,PF12721
Q15773,Myeloid leukemia factor 2,PF10248
Q86UP8,General transcription factor II-I repeat domain-containing protein 2A,PF02946
O60939,Sodium channel regulatory subunit beta-2,PF07686
Q9Y574,Ankyrin repeat and SOCS box protein 4,PF00023
Q9Y574,Ankyrin repeat and SOCS box protein 4,PF12796
Q9Y574,Ankyrin repeat and SOCS box protein 4,PF13637
Q9Y574,Ankyrin repeat and SOCS box protein 4,PF07525
Q5SY16,Polynucleotide 5'-hydroxyl-kinase NOL9,PF16575
Q5SY16,Polynucleotide 5'-hydroxyl-kinase NOL9,PF24419
Q5SY16,Polynucleotide 5'-hydroxyl-kinase NOL9,PF25467
Q9Y5J5,Pleckstrin homology-like domain family A member 3,PF00169
P59047,"NACHT, LRR and PYD domains-containing protein 5",PF13516
P59047,"NACHT, LRR and PYD domains-containing protein 5",PF05729
P59047,"NACHT, LRR and PYD domains-containing protein 5",PF17776
P59047,"NACHT, LRR and PYD domains-containing protein 5",PF17779
P59047,"NACHT, LRR and PYD domains-containing protein 5",PF02758
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF04563
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF04561
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF04565
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF04566
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF04567
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF00562
Q9NW08,DNA-directed RNA polymerase III subunit RPC2,PF04560
O15344,E3 ubiquitin-protein ligase Midline-1,PF22586
O15344,E3 ubiquitin-protein ligase Midline-1,PF18568
O15344,E3 ubiquitin-protein ligase Midline-1,PF00041
O15344,E3 ubiquitin-protein ligase Midline-1,PF00622
O15344,E3 ubiquitin-protein ligase Midline-1,PF00643
O15344,E3 ubiquitin-protein ligase Midline-1,PF13445
O43300,Leucine-rich repeat transmembrane neuronal protein 2,PF13855
P25685,DnaJ homolog subfamily B member 1,PF00226
P25685,DnaJ homolog subfamily B member 1,PF01556
Q969H0,F-box/WD repeat-containing protein 7,PF12937
Q969H0,F-box/WD repeat-containing protein 7,PF00400
Q9BQ70,Ribosome quality control complex subunit TCF25,PF04910
Q8N2H9,E3 ubiquitin-protein ligase pellino homolog 3,PF04710
Q8N2H9,E3 ubiquitin-protein ligase pellino homolog 3,PF20723
P18847,Cyclic AMP-dependent transcription factor ATF-3,PF00170
Q9WTM5,RuvB-like 2,PF06068
Q9WTM5,RuvB-like 2,PF17856
P00523,Proto-oncogene tyrosine-protein kinase Src,PF07714
P00523,Proto-oncogene tyrosine-protein kinase Src,PF00017
P00523,Proto-oncogene tyrosine-protein kinase Src,PF00018
P0DTD2,ORF9b protein,PF09399
Q9ULM0,Pleckstrin homology domain-containing family H member 1,PF00373
Q9ULM0,Pleckstrin homology domain-containing family H member 1,PF00784
Q9ULM0,Pleckstrin homology domain-containing family H member 1,PF00169
Q9ULM0,Pleckstrin homology domain-containing family H member 1,PF21989
Q96NJ5,Kelch-like protein 32,PF07707
Q96NJ5,Kelch-like protein 32,PF24981
Q96NJ5,Kelch-like protein 32,PF00651
Q86X40,Leucine-rich repeat-containing protein 28,PF23598
Q86X40,Leucine-rich repeat-containing protein 28,PF13855
Q5T7U4,General transcription factor IIIC subunit 5,PF09734
Q5T7U4,General transcription factor IIIC subunit 5,PF17682
O75344,Inactive peptidyl-prolyl cis-trans isomerase FKBP6,PF00254
P08922,Proto-oncogene tyrosine-protein kinase ROS,PF00041
P08922,Proto-oncogene tyrosine-protein kinase ROS,PF07714
Q9NS87,Kinesin-like protein KIF15,PF15908
Q9NS87,Kinesin-like protein KIF15,PF00225
P07332,Tyrosine-protein kinase Fes/Fps,PF00611
P07332,Tyrosine-protein kinase Fes/Fps,PF07714
P07332,Tyrosine-protein kinase Fes/Fps,PF00017
Q9UQ16,Dynamin-3,PF01031
Q9UQ16,Dynamin-3,PF00350
Q9UQ16,Dynamin-3,PF02212
Q9UQ16,Dynamin-3,PF00169
Q9Y2P4,Long-chain fatty acid transport protein 6,PF00501
Q9Y2P4,Long-chain fatty acid transport protein 6,PF13193
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF23745
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF23744
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF23748
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF16095
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF25497
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF13855
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF00069
Q5S007,Leucine-rich repeat serine/threonine-protein kinase 2,PF08477
Q9H492,Microtubule-associated protein 1 light chain 3 alpha,PF02991
O95072,Meiotic recombination protein REC8 homolog,PF04824
O95072,Meiotic recombination protein REC8 homolog,PF04825
P0C1Z6,TCF3 fusion partner,PF24245
P30530,Tyrosine-protein kinase receptor UFO,PF00041
P30530,Tyrosine-protein kinase receptor UFO,PF13927
P30530,Tyrosine-protein kinase receptor UFO,PF07714
Q53EZ4,Centrosomal protein of 55 kDa,PF12180
Q96EN8,Molybdenum cofactor sulfurase,PF00266
Q96EN8,Molybdenum cofactor sulfurase,PF03473
